,tf values
tion,230
10,205
edge,188
search,168
000,156
12,137
problem,131
tions,119
tiono,119
solutions,116
11,110
pp,105
ts,101
algorithms,101
20,87
solution,85
two,84
one,84
15,82
results,80
thenumbero,80
set,79
ty,77
13,75
fig,74
algorithm,73
max,71
function,69
00,69
vol,68
group,68
however,68
distribution,68
functions,67
18,67
thm,65
block,64
16,62
test,60
objective,59
used,55
thus,55
14,55
non,54
25,54
number,54
thms,53
eds,52
tween,51
ci,51
